Mulai Mengantri,Masuk Pompa,Durasi Antre,Detik
18:11:01,18:13:35,0:02:34,154.00
18:11:54,18:14:35,0:02:41,161.00
18:11:57,18:15:21,0:03:24,204.00
18:12:47,18:16:37,0:03:50,230.00
18:13:06,18:17:12,0:04:06,246.00
18:13:51,18:18:08,0:04:17,257.00
18:14:44,18:19:41,0:04:57,297.00
18:14:50,18:20:45,0:05:55,355.00
18:16:30,18:21:22,0:04:52,292.00
18:17:28,18:21:53,0:04:25,265.00
18:17:55,18:22:30,0:04:35,275.00
18:18:39,18:23:12,0:04:33,273.00
18:18:55,18:23:53,0:04:58,298.00
18:20:06,18:25:00,0:04:54,294.00
18:20:18,18:25:47,0:05:29,329.00
18:22:04,18:26:25,0:04:21,261.00
18:22:21,18:27:00,0:04:39,279.00
18:22:37,18:27:43,0:05:06,306.00
18:23:36,18:28:18,0:04:42,282.00
18:25:18,18:29:10,0:03:52,232.00
