Waktu Datang Sekarang,Waktu Datang Sebelumnya,Jeda Waktu,Detik
21:19:09,21:19:08,0:00:01,1
21:21:12,21:19:09,0:02:03,123
21:22:09,21:21:12,0:00:57,57
21:22:16,21:22:09,0:00:07,7
21:22:54,21:22:16,0:00:38,38
21:23:34,21:22:54,0:00:40,40
21:23:40,21:23:34,0:00:06,6
21:26:01,21:23:40,0:02:21,141
21:26:08,21:26:01,0:00:07,7
21:26:35,21:26:08,0:00:27,27
21:27:07,21:26:35,0:00:32,32
21:27:55,21:27:07,0:00:48,48
21:28:47,21:27:55,0:00:52,52
21:29:46,21:28:47,0:00:59,59
21:30:10,21:29:46,0:00:24,24
21:31:18,21:30:10,0:01:08,68
21:31:38,21:31:18,0:00:20,20
21:33:38,21:31:38,0:02:00,120
21:33:51,21:33:38,0:00:13,13
21:36:18,21:33:51,0:02:27,147
21:37:50,21:36:18,0:01:32,92
21:38:57,21:37:50,0:01:07,67
21:39:17,21:38:57,0:00:20,20
21:41:05,21:39:17,0:01:48,108
21:41:20,21:41:05,0:00:15,15
21:41:40,21:41:20,0:00:20,20
21:42:15,21:41:40,0:00:35,35
21:49:08,21:42:15,0:06:53,413
21:49:58,21:49:08,0:00:50,50
21:52:06,21:49:58,0:02:08,128
