Mulai Mengantri,Masuk Pompa,Durasi Antre,Detik
19:45:45,19:53:35,0:07:50,470
19:45:49,19:54:37,0:08:48,528
19:46:15,19:56:01,0:09:46,586
19:47:10,19:56:42,0:09:32,572
19:47:58,19:57:10,0:09:12,552
19:50:01,19:57:45,0:07:44,464
19:50:45,19:58:43,0:07:58,478
19:50:51,19:59:11,0:08:20,500
19:50:59,19:59:59,0:09:00,540
19:51:18,20:00:25,0:09:07,547
19:52:02,20:00:43,0:08:41,521
19:52:48,20:01:46,0:08:58,538
19:54:21,20:03:12,0:08:51,531
19:55:25,20:03:53,0:08:28,508
19:57:30,20:04:30,0:07:00,420
19:58:27,20:05:09,0:06:42,402
19:58:29,20:06:25,0:07:56,476
19:58:57,20:07:34,0:08:37,517
19:59:11,20:08:17,0:09:06,546
20:00:12,20:09:02,0:08:50,530
20:00:45,20:09:40,0:08:55,535
20:00:58,20:10:30,0:09:32,572
20:03:48,20:12:27,0:08:39,519
20:05:58,20:13:10,0:07:12,432
20:06:19,20:13:42,0:07:23,443
20:06:25,20:14:20,0:07:55,475
20:06:29,20:14:58,0:08:29,509
20:06:40,20:15:46,0:09:06,546
20:06:50,20:16:40,0:09:50,590
20:07:46,20:17:27,0:09:41,581
20:10:01,20:18:40,0:08:39,519
20:12:06,20:19:21,0:07:15,435
20:23:10,20:31:21,0:08:11,491
20:23:45,20:32:57,0:09:12,552
20:25:59,20:33:36,0:07:37,457
20:26:29,20:34:06,0:07:37,457
20:27:05,20:34:44,0:07:39,459
20:27:06,20:36:02,0:08:56,536
20:27:25,20:36:52,0:09:27,567
20:28:47,20:38:10,0:09:23,563
20:30:07,20:39:09,0:09:02,542
20:31:21,20:39:40,0:08:19,499
20:31:33,20:40:17,0:08:44,524
20:32:32,20:42:07,0:09:35,575
20:33:05,20:42:47,0:09:42,582
