No,Waktu Start Pelayanan,Waktu End Pelayanan,Durasi,Detik,Jenis Pembayaran,Jenis Motor
20,19:53:40,19:55:01,0:01:21,81,Qris,
21,19:55:01,19:55:58,0:00:57,57,Qris,
22,19:55:58,19:56:35,0:00:37,37,Tunai,
23,19:56:35,19:57:40,0:01:05,65,Tunai,Pcx
24,19:57:40,19:58:39,0:00:59,59,Qris,Aerox
25,19:58:37,19:59:04,0:00:27,27,Tunai,Beat
26,19:59:04,19:59:50,0:00:46,46,Tunai,Supra
27,19:59:50,20:00:35,0:00:45,45,Qris,Beat
28,20:00:35,20:02:09,0:01:34,94,Qris,Supra
29,20:02:09,20:03:15,0:01:06,66,Tunai,Scoopy
30,20:03:15,20:04:10,0:00:55,55,Qris,Scoopy
31,20:04:10,20:05:12,0:01:02,62,Tunai,Supra
32,20:05:12,20:06:33,0:01:21,81,Qris,Scoopy
33,20:06:33,20:07:32,0:00:59,59,Tunai,Kawasaki
34,20:07:32,20:08:24,0:00:52,52,Tunai,Beat
35,20:08:24,20:09:01,0:00:37,37,Tunai,Vario
36,20:09:01,20:09:42,0:00:41,41,Tunai,Scoopy
37,20:09:42,20:11:19,0:01:37,97,Qris,Beat
38,20:11:19,20:12:26,0:01:07,67,Tunai,Beat
39,20:12:26,20:13:10,0:00:44,44,Tunai,Aerox
40,20:13:10,20:13:38,0:00:28,28,Tunai,Nmax
41,20:13:38,20:14:20,0:00:42,42,Tunai,Beat
42,20:14:20,20:14:47,0:00:27,27,Tunai,Scoopy
43,20:14:47,20:15:42,0:00:55,55,Tunai,Vario
44,20:15:42,20:16:42,0:01:00,60,Tunai,Aerox
45,20:16:42,20:17:56,0:01:14,74,Qris,Beat
46,20:17:56,20:18:40,0:00:44,44,Tunai,Supra
47,20:18:40,20:19:21,0:00:41,41,Tunai,Vario
48,20:19:21,20:20:15,0:00:54,54,Tunai,Mio
49,20:20:15,20:21:03,0:00:48,48,Tunai,Scoopy
50,20:21:03,20:21:27,0:00:24,24,Tunai,Beat
51,20:21:27,20:23:11,0:01:44,104,Qris,Pcx
52,20:23:11,20:24:05,0:00:54,54,Tunai,Vario
53,20:24:05,20:24:43,0:00:38,38,Tunai,Vario
54,20:24:43,20:25:46,0:01:03,63,Tunai,Aerox
55,20:25:46,20:26:59,0:01:13,73,Qris,Scoopy
56,20:26:59,20:27:28,0:00:29,29,Tunai,Scoopy
57,20:27:28,20:28:13,0:00:45,45,Tunai,Vario
58,20:28:13,20:28:55,0:00:42,42,Tunai,Kawasaki
59,20:28:55,20:30:03,0:01:08,68,Tunai,Supra
60,20:30:03,20:30:29,0:00:26,26,Tunai,Beat
61,20:30:29,20:31:45,0:01:16,76,Qris,Scoopy
62,20:31:45,20:32:50,0:01:05,65,Tunai,Scoopy
63,20:32:50,20:33:34,0:00:44,44,Tunai,Scoopy
64,20:33:34,20:34:12,0:00:38,38,Tunai,Scoopy
65,20:34:12,20:35:06,0:00:54,54,Qris,Pcx
66,20:35:06,20:36:04,0:00:58,58,Tunai,Vario
67,20:36:04,20:37:32,0:01:28,88,Qris,Mio
68,20:37:32,20:38:36,0:01:04,64,Tunai,Scoopy
69,20:38:36,20:39:07,0:00:31,31,Tunai,Beat
70,20:39:07,20:39:40,0:00:33,33,Tunai,Vario
71,20:39:40,20:40:58,0:01:18,78,Qris,Vario
72,20:40:58,20:42:06,0:01:08,68,Tunai,Vario
73,20:42:06,20:42:38,0:00:32,32,Tunai,Beat
74,20:42:38,20:44:06,0:01:28,88,Qris,Vario
